Date,oi,oi_chg,VSTD,VOSC,VMACD,VMA,VHF,TRIX,SRMI,SOBV,WR,SI,SAR,ROC,RSI,RC,PVT,PRICEOSC,MTM,MIKE,MACD,MA,slowKD,KDJ,EXPMA,ENV,DPO,DMI_2,DMA,CCI,BIAS,ADTM,end,begin,highest,lowest,closing_price_down,swing,contract_volume,contract_position,one,two,three,all_v,all_p,delta
1991/1/2,48937,-2302,84.51318622,0,-58.10321391,202.734,0.319243156,-0.573348214,-0.015973254,681038,76.20689655,-39.18143852,28.7,-1.633865577,42.56470443,79.28763843,45142.19124,-4.275253917,0.57,28.39333333,-0.912178977,27.346,70.90042783,54.86061462,27.13029303,28.33077143,-2.685,31.02779573,-3.2728,32.49212717,-1.405043268,-0.312401884,26.49,28.12,28.45,26.35,-6.856540084,7.383966245,38738,48937,0.59,1.28,2.19,71748,191682,-0.52
1991/1/3,49280,343,119.9064188,0,-36.26412056,268.072,0.315559093,-0.53895766,-0.053843297,633727,84.73684211,-34.43453909,28.653,-5.384329744,34.18172623,83.78822756,43338.33657,-3.549559297,-0.44,26.15333333,-0.976257471,26.998,62.36049284,41.66146238,26.87640179,28.34061429,-3.5585,30.78896729,-3.3182,-158.7610841,-4.848447128,-0.410404624,25.48,26,26.2,24.9,-3.812759532,4.907512269,47311,49280,0.61,1.22,1.92,94995,192279,-0.9
1991/1/4,48993,-287,121.7238272,0,-43.55914291,271.876,0.357508532,-0.527404411,-0.056460781,617528,83.51648352,-18.37548747,28.50288,-7.538061641,30.09702621,84.78038815,42969.59953,-3.096058051,-2.32,25.98333333,-1.061603784,26.576,42.97773017,33.26881375,26.57233998,28.22552857,-3.9485,28.23086575,-3.4318,-173.6830949,-6.388044738,-0.286713287,24.9,25.8,26.15,24.15,-2.276295133,7.849293564,16199,48993,0.68,1.27,1.87,33534,198274,1.9
1991/1/7,44600,-4393,139.0630273,-2.320627689,-27.60431265,321.772,0.333333333,-0.493262396,0.062567812,660270,23.07692308,34.0809816,28.2417072,2.673598218,58.38888475,88.96396396,47690.10153,-2.04858907,0.64,30.08333333,-0.896999286,26.592,32.70003036,47.82023481,26.73813383,28.30881429,-1.0995,30.27681661,-3.2372,38.14173228,3.713428357,-0.28042328,27.65,25.75,28,25.7,11.04417671,9.236947791,42742,44600,0.83,2.52,3.12,104102,190135,-0.13
1991/1/8,44853,253,146.5103245,0.240609152,-13.79714577,377.952,0.328241285,-0.451770043,0.046006625,616284,33.62637363,10.51151515,27.99620477,2.955665025,53.82592035,79.32846715,46926.51094,-1.144619998,-0.4,30.06333333,-0.796104031,26.338,35.99886099,54.00469866,26.80457478,28.3179,-1.4175,30.36437247,-2.9706,38.69022279,1.836581709,-0.231922399,27.17,27.3,27.7,26.45,-1.735985533,4.52079566,43986,44853,0.87,1.71,2.46,99780,191159,1.76
1991/1/9,45659,806,178.9735346,4.517093895,13.09857923,428.364,0.317857143,-0.405517407,0.001467351,680228,48.88888889,11.23299509,31,5.169753086,54.62378222,82.58103605,47138.32397,-0.641924191,-1.18,31.05666667,-0.700803145,26.492,51.42864283,53.04016948,26.8746402,28.34364286,-1.0285,35.63984994,-2.7216,43.58775334,1.89701897,-0.203839122,27.26,25.5,31,23.35,0.3312477,28.15605447,63944,45659,0.65,1.49,2.29,128888,205719,-0.19
1991/1/10,47161,1502,169.7664912,9.007899919,14.1996905,411.934,0.227848101,-0.351829237,0.025261638,641132,43.00653595,9.265041736,30.388,6.905864198,58.88630955,79.90196078,47783.70915,0.122001782,1.22,32.75666667,-0.582253412,26.938,58.74069286,54.35793434,27.00315709,28.4027,-0.227,32.42594075,-2.5332,113.824966,3.00477046,0.087308731,27.71,27.9,28.9,27.55,1.65077036,4.952311079,39096,47161,1.02,2.04,2.94,107447,207578,-0.21
1991/1/11,48812,1651,156.3171909,8.340161216,7.491333919,439.152,0.266173752,-0.301170416,-0.010155967,611324,48.49673203,-8.386881029,29.82496,5.285493827,53.28065348,79.00984366,47331.90979,1.023853533,1.81,31.83,-0.516241474,27.416,58.7215399,53.40637888,27.04728677,28.47084286,-0.365,32.19395866,-2.3602,63.05764889,1.014836978,-0.017241379,27.29,27.5,28.28,27.2,-1.515698304,3.897509924,29808,48812,1.05,2.05,2.93,73798,215827,-0.72
1991/1/14,43644,-5168,143.4079074,12.00967044,7.07844675,425.64,0.23681031,-0.208283822,0.076023392,575338,14.10404624,45.34800618,23.35,13.07861866,76.03184369,87.36871984,51934.0036,1.607463475,5.88,38.70333333,-0.180235067,28.042,58.71985894,64.23623717,27.62155034,28.83881429,3.4385,40.87136929,-1.9502,282.1996072,12.69565217,0.227239082,30.78,31.5,32,30.3,12.78856724,6.229388054,35986,43644,1.09,4.04,4.92,141715,214888,-1.33
1991/1/15,43363,-281,126.5393707,15.20951573,1.166031483,395.83,0.244694132,-0.104027907,0.119055537,546257,22.31213873,-23.045,23.523,11.32913736,67.95331656,85.49900483,51263.19431,2.005566756,2.42,37.56333333,0.0284336,28.622,63.23195688,68.72011187,27.9982349,29.15302857,2.9955,38.85601578,-1.6852,176.8879942,9.077718328,0.192450037,30.07,31.4,31.4,29.9,-2.306692658,4.873294347,29081,43363,1.02,2.76,4.11,127501,215124,0.8
