Date,DIF,DEA,MACD,CCI,W&R,S1,S2,SAR,RSI1,RSI2,K,D,J,BOLL,UPPER,LOWER,K1,D1,PDI,MDI,ADX,ADXR,DDI,ADDI,AD,PSY,TRIX,TRMA,end,begin,highest,lowest,closing_price_down,swing,contract_volume,contract_position,one,two,three,all_v,all_p,delta
32692,0.0000,0.0000,0.1192,50.47,0.00,18.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,66.67,0.00,0.00,20.27,20.27,20.27,20.27,0,0,0,61262,0.77,1.32,1.69,0,220948,0.22
38901,0.7353,0.2984,0.8737,0.00,0.00,73.72,71.10,71.76,39.99,42.39,33.60,28.26,0.00,73.88,77.61,70.15,30.97,16.32,15.15,0.00,32.91,27.26,-0.24,-0.23,-0.20,0.00,-0.12,0.00,73.93,73.92,74,73.85,0,0.20289463,401,229377,-0.88,-1.47,-1.88,581,709725,1.24
35072,0.4406,0.3752,0.1308,0.00,14.63,22.77,19.10,19.29,50.28,53.56,28.72,41.98,0.00,18.69,20.67,16.72,27.20,42.24,45.69,6.88,81.88,66.85,0.23,0.29,0.35,75.00,0.31,0.12,20.26,20.35,20.5,20.26,0,1.184600197,1374,83851,0.61,1.1,1.46,1424,321733,-0.31
37862,0.0000,0.0000,-0.0376,53.36,40.69,32.33,0.00,0.00,0.00,0.00,0.00,0.00,8.63,0.00,0.00,0.00,0.00,0.00,0.00,20.70,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,31.57,31.45,32.05,31.4,0.222222222,2.063492063,3806,172383,0.26,0.74,1.29,10297,435032,-1.87
35423,0.0000,0.0000,0.0360,-8.55,0.00,22.52,0.00,0.00,0.00,0.00,0.00,0.00,25.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.37,0.00,0.00,0.00,0.00,0.00,25.1,24.7,25.15,24.64,1.250504236,2.057281162,9265,102207,0.64,1.29,1.91,14066,295524,-0.23
41124,0.0000,0.9379,0.0556,0.00,0.00,99.13,90.57,90.87,23.89,34.58,15.69,26.92,0.00,95.20,0.00,90.81,15.10,24.34,20.05,0.00,14.08,16.66,-0.40,-0.28,-0.16,58.33,-0.02,0.12,91.4,87.26,91.74,87.23,4.900723058,5.176173534,13059,266005,-0.24,-0.53,-0.93,15068,987484,0.86
32790,0.0000,0.0000,-0.0009,48.81,0.00,20.04,0.00,0.00,0.00,0.00,0.00,0.00,9.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.28,0.00,0.00,41.67,0.00,0.00,20.02,19.8,20.08,19.8,0.754906895,1.409159537,7115,56281,0.17,0.42,0.6,16580,223828,0.07
32237,-0.3158,-0.4687,0.3058,0.00,50.71,17.57,17.30,17.40,45.93,46.11,38.73,40.80,34.57,17.54,18.12,16.96,27.29,47.20,27.30,22.01,13.08,18.15,-0.03,-0.04,-0.13,0.00,-0.09,-0.06,17.01,17.05,17.09,16.99,-0.409836066,0.585480094,8889,72657,0.11,0.18,0.25,16709,195990,-0.17
35788,0.0000,0.0000,0.1581,-32.56,63.64,17.27,0.00,0.00,0.00,0.00,0.00,0.00,34.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.56,0.00,0.00,0.00,0.00,0.00,18.35,18.34,18.42,18.21,0.109110747,1.145662848,9816,123025,-0.15,-0.28,-0.41,18696,334679,-0.15
35425,0.2855,0.3037,-0.0363,0.00,54.18,21.50,21.89,22.52,40.91,36.64,26.47,21.42,0.00,23.49,25.46,21.51,20.97,16.32,14.09,39.51,53.78,47.86,-0.46,-0.42,-0.42,33.33,-0.50,-0.37,24.92,25.15,25.25,24.81,-0.717131474,1.752988048,10233,102503,0.65,1.3,1.92,19290,297422,0.25
33969,0.0000,0.0000,0.1309,-10.56,68.24,19.19,0.00,0.00,0.00,0.00,0.00,0.00,85.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,50.00,0.00,0.00,19.5,19.59,19.65,19.48,-0.45941807,0.867789689,12233,90152,-0.11,-0.19,-0.24,19509,278833,-0.42
35790,-0.3890,-0.4557,0.1333,0.00,0.00,17.05,16.10,16.16,46.13,43.50,31.63,23.49,0.00,16.54,17.63,15.44,22.16,12.24,14.82,27.90,19.39,15.13,-0.30,-0.35,-0.24,33.33,-0.24,-0.19,18.2,18.35,18.35,18.16,-0.817438692,1.035422343,11784,118985,-0.13,-0.26,-0.39,20364,332072,-0.55
32499,0.0000,0.0000,0.0970,49.85,0.00,17.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.16,0.00,0.00,33.33,0.00,0.00,16.49,16.35,16.52,16.28,1.165644172,1.472392638,12008,81999,0.43,0.67,0.67,21038,189176,0.1
32990,-0.4415,-0.5812,0.2796,0.00,0.00,17.83,15.50,15.65,20.71,28.65,21.26,32.26,0.00,17.19,18.56,15.82,27.95,48.73,18.19,37.89,13.79,34.44,-0.35,-0.28,-0.24,0.00,-0.43,-0.39,18.54,18.45,18.57,18.35,0.378992962,1.191120736,13191,77420,-0.66,-0.99,-1.23,22188,257568,-0.06
32748,-0.1081,-0.1705,0.1248,0.00,74.32,20.20,20.49,20.56,58.75,62.10,74.56,78.09,67.51,20.07,20.95,19.19,78.11,81.15,32.53,12.97,50.67,29.26,0.37,0.47,0.50,0.00,0.23,0.20,18.64,18.5,18.65,18.5,0.702323069,0.810372771,10695,60107,0.23,0.33,0.44,22270,202057,-0.04
33962,0.0000,0.0000,0.3132,97.92,3.51,20.43,0.00,0.00,0.00,0.00,0.00,0.00,-7.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.18,0.00,0.00,33.33,0.00,0.00,19.98,19.91,20.01,19.84,0.15037594,0.852130326,22088,90668,-0.03,-0.07,-0.09,22617,265568,-0.21
32500,0.6224,0.5991,0.0467,0.00,67.09,17.05,17.55,18.25,66.97,58.65,63.71,50.10,90.92,17.70,18.81,16.60,53.37,47.53,20.58,19.05,16.03,19.01,0.18,-0.06,-0.17,0.00,-0.06,0.01,16.61,16.51,16.7,16.45,0.727713766,1.516070346,12261,75162,0.39,0.62,0.72,22976,181323,0.1
